Comparing files film.yuv and FILMDEC.YUV
00112BDB: 85 84
00112FD3: 85 84
001137D3: 86 85
00113BA8: 85 86
00113CDF: 85 86
001148C0: 87 86
00115F30: 88 87
00115FA0: 87 86
00115FA7: 87 86
00116432: 88 89
001165CA: 86 87
00117763: 89 88
00118B1B: 8A 89
0011909E: 89 8A
00119B13: 8C 8B
00119BCA: 8B 8A
00119C4F: 8A 8B
00119FFF: 8A 8B
0011A35B: 8B 8A
0011A3A7: 8B 8A
0011A490: 8B 8C
0011AB4B: 8B 8A
0011AF6B: 8C 8B
0011B34C: 8C 8B
0011BDFA: 8C 8D
0011BFF0: 8D 8C
0011BFF7: 8D 8C
0011C427: 8E 8D
0011CE2E: 8F 8E
0011D160: 8E 8D
0011D730: 8F 8E
0011D78B: 8F 8E
0011DC2F: 90 91
0011DD4A: 8D 8E
0011DF0F: 91 90
0011E666: 90 8F
0011E66A: 8F 8E
0011E78F: 90 8F
0011E7DB: 92 91
0011EF10: 93 92
0011EF3B: 92 91
0011F057: 91 92
0011F33B: 93 92
0011F35C: 92 91
0011F3F1: 91 92
0011F457: 92 93
0011F77F: 93 92
0011FB3B: 94 93
0011FB63: 94 93
0011FC48: 94 95
0011FECC: 94 95
0011FF1F: 94 93
0011FF83: 95 94
0011FFA0: 95 94
001201D1: 37 36
00120327: 3A 3B
00120FCC: 39 38
00121C69: 4A 49
00122387: C9 C8
00122CBF: 3B 3A
00123FFB: 3E 3D
001240C7: 3F 3E
001247D0: 3E 3D
001260F7: 42 43
001265A0: 41 40
0012A8AD: 4A 4B
0012C303: 52 53
0012C503: 51 52
0012EF10: 5B 5A
0012F507: 5B 5C
00130084: 8F 90
001300C8: 90 8F
001302CC: 8E 8F
0013087C: 90 8F
00130B93: 91 92
00130C98: 8F 90
001311C7: 8E 8F
001317AF: 91 90
001317DB: 91 90
00131993: 91 90
00131B98: 8F 90
00131FFF: 92 91
00132060: 91 90
00132FF3: 92 91
00133310: 8E 8F
001338F5: 90 91
00133FA3: 91 90
00133FBF: 92 91
00134190: 8E 8F
00134F13: 90 8F
0013576C: 90 91
00135A78: 90 8F
00136060: 8F 8E
00136F74: 8E 8F
00136FF0: 91 90
00136FFF: 8D 8E
001370FA: 8E 8D
001372E6: 90 91
00137C0F: 8D 8C
00137CD0: 8F 8E
0013861B: 8D 8C
00138620: 8D 8C
00138F70: 8E 8D
0013964B: 8D 8C
001397AC: 8F 90
0013A72C: 89 8A
0013A82C: 88 89
0013AC80: 8C 8B
0013AF90: 8C 8D
0013B0FF: 8C 8D
0013BA97: 8B 8A
0013BFFF: 8C 8D
0013C7AC: 8C 8D
0013C8AC: 8B 8C
0013CAB8: 8C 8B
0013D05F: 87 86
0013D0AF: 8B 8A
0013D67B: 88 87
0013D71C: 85 86
0013DF7B: 87 86
0013E84A: 83 84
0013EF70: 85 86
0013F46B: 84 83
0013F62B: 81 80
0013F673: 85 84
0013F80F: 7F 7E
0013F86B: 83 82
0013FA2B: 80 7F
0013FA73: 84 83
0014037B: 95 94
00140B30: 96 95
00141387: 98 97
001413B3: 97 96
00141B87: 9A 99
